Player,Position,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
LeBron James,Forward,10.3,18.7,55.50%,1.8,4.9,32.80%,4.5,6,75.10%,1.2,6.8,8,8.7,1.7,1.1,4.3,1.7,27,23.9,0.3
Stephen Curry,Guard,8.7,17.6,49.70%,4.1,9.9,41.80%,6.2,6.7,90.00%,0.6,4.7,5.3,6.5,1.6,0.1,2.9,2.5,27.7,22.8,11.4
DeMarcus Cousins,Center,8.5,18.2,47.60%,2.2,6.1,35.00%,6,8.1,75.00%,2.2,10.5,12.7,5.1,1.6,1.6,5,3.8,25.3,19.5,0.9
DeMar DeRozan,Guard,8.8,18.4,47.00%,1.1,3.2,24.80%,6.4,7.7,81.40%,0.8,3.3,4.1,5,1.1,0.3,2.3,1.8,25.2,18.6,5.8
Anthony Davis,Forward-Center,9.7,17.5,56.00%,0.7,2,31.40%,6.5,7.9,79.90%,2.6,7.9,10.5,2.3,1.1,2.1,1.9,1.9,26.7,23.4,3.7
Giannis Antetokounmpo,Forward,10.3,18.8,54.50%,0.5,1.6,25.50%,7.2,9.4,78.10%,2.3,7.8,10.1,4.6,1.5,1.3,2.7,3.1,28.2,23.8,2.2
Kevin Durant,Forward,9.4,18.4,52.20%,2.5,6.2,40.50%,4.9,5.5,87.90%,0.6,6.4,6.9,5.4,0.8,2.1,3.1,2.2,26.2,21.2,7.8
James Harden,Guard,9.4,21,44.20%,4.1,10.5,38.60%,8.9,10.3,86.70%,0.5,4.4,4.9,9,1.8,0.6,4.3,2.6,31.7,25,6.8
Kyrie Irving,Guard,8.8,18.6,46.30%,2.6,6.7,37.70%,3.9,4.4,87.80%,0.6,3,3.6,5,1.2,0.3,2.4,2.2,24.1,17.3,5.6
Joel Embiid,Center,8.3,16.9,49.00%,0.9,3.1,29.80%,6.5,8.1,79.50%,2.2,8.8,11,3.5,0.6,1.9,4.2,3.5,23.9,17.7,6.4
Andre Drummond,Center,5.8,10.7,52.90%,0,0.1,0.00%,2.9,4.7,63.50%,5,10,15,3.8,1.6,1.2,2.7,3.2,14.5,16.2,0.1
Al Horford,Forward-Center,5.4,10.4,51.40%,1.4,3.3,43.00%,1.2,1.6,66.40%,1.4,6.3,7.8,5.3,0.6,1,2,1.8,13.4,13.3,6.3
Bradley Beal,Guard,8.7,18.9,45.60%,2.4,6.5,32.60%,4,5,77.50%,0.8,3.5,4.3,3.8,1.1,0.5,2.2,1.9,23.7,16.2,3.4
Draymond Green,Forward,3.9,8.7,45.20%,1.2,3.9,29.80%,2,2.6,76.00%,1.2,6.8,7.9,7.6,1.3,1.3,2.7,2.6,11.1,12.9,7.1
Goran Dragic,Guard,6.4,14.7,42.90%,1.5,4.2,32.50%,2.9,3.7,75.50%,0.7,3.5,4.2,4.9,0.9,0.2,2.5,2.3,17.3,11.8,-1.5
Jimmy Butler,Guard,7.4,15.5,48.00%,1.2,3.3,36.50%,5.8,6.6,86.40%,1.4,3.9,5.4,5,2,0.4,1.9,1.2,21.7,19,6.5
Kemba Walker,Guard,7.3,17.2,42.00%,2.5,7,34.50%,4.6,5.4,84.40%,0.5,2.9,3.4,5.8,1.2,0.3,2,1.4,21.7,16.3,4
Damian Lillard,Guard,8.1,19,42.60%,2.8,8,32.90%,6,6.5,90.50%,0.8,4,4.8,6.5,1.1,0.4,3.2,1.7,25,18.6,2.1
Paul George,Forward,7,16.2,42.70%,3.1,7.2,41.10%,3.4,4.2,80.60%,0.9,4.6,5.5,3,2.2,0.6,2.9,3.1,20.4,14.2,1.8
Kyle Lowry,Guard,5.1,12.2,41.60%,2.9,7.5,37.40%,3.1,3.6,87.00%,0.9,5.3,6.2,6.9,1.3,0.1,2.7,2.3,16.2,14.2,5
John Wall,Guard,6.9,16.4,42.90%,1.4,3.8,32.80%,4.5,6.2,69.20%,0.6,3.1,3.6,9.3,1.4,1.1,3.5,1.9,19.6,15.9,3.9
Karl-Anthony Towns,Center,7.6,14,53.50%,1.5,3.7,41.50%,3.5,4.2,83.20%,2.7,9.4,12.1,2.3,0.9,1.6,2,3.4,20.1,17.9,5.7
Kevin Love,Forward-Center,6.1,13.2,45.00%,2.3,5.7,36.60%,4.5,5.1,89.20%,2.1,7.5,9.6,1.7,0.7,0.5,1.7,2.2,19,15.4,-0.4
Klay Thompson,Guard,8.1,16.6,49.20%,3.4,7.4,47.70%,1.3,1.5,85.80%,0.5,3.6,4.1,2.5,0.7,6,1.8,1.6,20.9,14.3,7.6
Kristaps Porzingis,Forward-Center,8.4,19.4,43.60%,1.8,4.8,36.60%,4.9,6,82.00%,1.3,5.6,6.9,1.2,0.7,2.4,2.2,2.9,23.6,15.4,0.9
LaMarcus Aldridge,Forward-Center,8.8,17.8,49.50%,0.5,1.5,28.80%,4.5,5.4,85.70%,3.3,5.2,8.5,1.9,0.5,1.1,1.5,2.4,22.7,17.5,3.4
Victor Oladipo,Guard,8.8,18.1,49.60%,2.6,6.4,41.00%,4.2,5.4,79.20%,0.5,4.8,5.3,4,2,0.9,2.8,2.4,24.3,18.1,4.6
Russell Westbrook,Guard,9.2,21.2,44.10%,1.4,4.4,31.90%,5,7,69.70%,1.8,7.9,9.7,9.9,2,0.2,4.6,2.3,24.8,20.1,4.9
