Player,Position,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Classification
Lebron James,2,10.0,19.3,0.516,2.0,5.6,0.333,5.3,7.8,0.678,0.9,7.4,8.3,7.1,1.3,0.7,3.4,1.6,27.3,22.4,2.8,1
Giannis Antetokounmpo,2,9.8,16.9,0.586,0.4,2.3,0.150,6.5,9.2,0.683,2.3,10.2,12.6,5.9,1.3,1.4,4.0,3.3,26.5,23.3,8.9,1
James Harden,1,10.5,23.9,0.445,5.0,13.3,0.383,10.3,11.9,0.856,1.0,5.6,6.6,8.3,2.1,0.7,5.6,3.5,36.3,26.9,2.5,1
Kevin Durant,2,9.7,18.9,0.516,1.9,5.1,0.386,6.5,7.2,0.905,0.5,6.8,7.3,6.0,0.9,1.2,3.3,1.9,27.8,22.3,8.9,1
Stephen Curry,1,9.8,20.0,0.487,5.2,11.6,0.428,4.6,5.0,0.904,0.7,4.4,5.2,5.5,1.2,0.4,2.9,2.6,29.5,22.5,10.8,1
Kyrie Irving,1,8.9,17.8,0.502,2.6,6.3,0.430,3.0,3.5,0.843,1.1,3.6,4.8,6.9,1.7,0.5,2.7,2.2,23.5,19.5,7.1,1
Joel Embiid,3,9.1,18.5,0.492,1.2,3.9,0.294,7.9,9.8,0.793,2.4,10.9,13.3,3.5,0.6,2.0,3.5,3.3,27.2,21.7,5.9,1
Kawhi Leonard,2,9.6,19.1,0.502,1.8,4.8,0.338,6.6,7.7,0.827,1.4,6.5,7.9,3.1,1.9,0.5,2.0,1.5,27.6,22.4,5.2,1
Paul George,2,9.0,20.3,0.449,3.5,8.9,0.409,5.4,6.5,0.827,1.5,6.5,8.0,4.0,2.3,0.5,2.6,2.7,26.9,20.7,7.6,1
Kemba Walker,1,8.7,19.9,0.428,3.2,9.0,0.342,4.3,5.3,0.814,0.5,3.7,4.2,5.7,1.3,0.5,2.6,1.6,25.0,17.9,0.9,1
Bradley Beal,1,9.1,19.7,0.466,2.5,7.2,0.344,3.8,4.9,0.801,1.1,3.9,5.1,5.0,1.3,0.9,2.8,3.0,24.6,17.5,-1.3,1
Blake Griffin,2,8.9,18.5,0.471,2.4,6.6,0.362,6.0,7.9,0.769,1.2,6.9,8.1,5.3,0.8,0.5,3.7,2.8,26.3,19.1,-0.9,1
Anthony Davis,2,10.5,20.6,0.502,1.0,3.0,0.326,7.4,9.1,0.805,3.4,9.9,13.3,4.4,1.7,2.6,2.0,2.6,29.3,27.3,3.3,1
D'Angelo Russell,1,7.6,17.3,0.422,2.7,7.1,0.351,1.5,1.9,0.779,0.5,3.3,3.8,6.5,1.1,0.3,2.8,1.6,19.3,13.8,0.5,1
Ben Simmons,1,6.7,11.6,0.593,0.0,0.0,,3.1,5.5,0.601,2.2,7.2,9.5,8.3,1.3,0.8,3.5,2.5,16.6,17.1,2.3,1
Damian Lillard,1,8.6,19.3,0.453,2.8,7.7,0.381,6.1,6.8,0.904,0.8,3.7,4.5,6.2,1.1,0.5,2.8,1.8,26.2,19.8,4.5,1
Khris Middleton,1,6.1,14.2,0.439,2.4,6.4,0.378,2.7,3.2,0.805,0.5,5.3,5.8,4.1,1.1,0.1,2.2,2.5,17.3,12.5,7.2,1
Kyle Lowry,1,4.7,11.4,0.403,2.1,6.7,0.322,2.6,3.1,0.843,0.5,3.9,4.5,9.4,1.4,0.5,2.8,2.5,14.2,14.0,9.0,1
Karl-Anthony Towns,3,8.2,16.5,0.497,1.8,4.6,0.431,4.5,5.3,0.864,3.5,8.9,12.3,3.0,1.0,1.9,2.9,3.8,22.6,19.1,1.7,1
Nikola Jokic,3,7.5,14.8,0.488,1.2,3.7,0.319,3.7,4.4,0.831,2.8,7.5,10.3,7.7,1.3,0.7,3.2,2.8,19.8,19.3,4.4,1
Klay Thompson,1,8.6,18.6,0.452,2.9,7.6,0.348,1.8,2.3,0.800,0.4,3.6,4.1,2.0,1.2,0.7,1.6,2.1,21.8,14.2,4.1,1
Nikola Vucevic,3,8.6,16.6,0.516,1.2,3.1,0.359,2.2,2.8,0.762,2.6,9.4,12.0,3.8,1.0,1.2,2.0,1.9,20.5,18.4,0.5,1
LaMarcus Aldridge,2,8.1,16.0,0.508,0.1,0.3,0.250,4.2,5.1,0.846,2.9,5.7,8.6,2.5,0.6,1.2,1.9,2.1,20.6,16.5,0.3,1
Victor Oladipo,1,6.9,16.3,0.412,2.1,6.0,0.315,2.9,3.9,0.750,0.6,5.0,5.6,5.2,1.7,0.3,2.3,2.0,18.8,14.0,3.5,1
Russell Westbrook,1,8.4,20.1,0.418,1.2,4.7,0.247,4.0,6.1,0.641,1.5,9.3,10.8,10.7,2.4,0.3,4.5,3.5,21.9,18.3,7.0,1
Rudy Gobert,3,5.5,8.6,0.656,0.0,0.0,,3.9,5.9,0.668,3.7,9.3,13.0,2.2,0.9,2.1,1.6,2.8,14.9,16.9,4.9,0
Jimmy Butler,2,6.9,14.6,0.468,1.3,3.4,0.330,4.4,5.3,0.862,1.7,3.2,4.9,3.7,2.0,0.6,1.5,1.8,19.6,16.8,1.1,0
Mike Conley,1,6.8,15.9,0.422,2.1,6.0,0.323,4.4,5.1,0.836,0.6,2.7,3.2,6.0,1.3,0.3,1.8,1.7,20.0,15.8,0.1,0
Jrue Holiday,1,8.2,17.1,0.483,1.6,5.1,0.288,2.9,3.9,0.746,1.2,3.6,4.8,8.2,1.7,0.8,3.3,2.4,21.0,17.5,4.1,0
Steven Adams,3,6.5,10.6,0.615,0.0,0.0,0.000,2.4,4.4,0.531,4.7,5.4,10.0,1.7,1.5,0.8,1.6,2.6,15.4,15.3,6.8,0
Clint Capela,3,7.5,11.9,0.631,0.0,0.0,,2.6,4.1,0.597,5.0,7.6,12.6,1.5,0.6,1.8,1.5,2.7,17.6,17.7,0.6,0
Draymond Green,2,2.8,6.7,0.370,0.6,2.4,0.206,0.9,1.3,0.718,1.0,6.9,7.9,7.3,1.6,0.9,2.6,3.3,7.1,9.6,9.2,0
DeMar DeRozan,1,8.3,17.9,0.465,0.1,0.8,0.124,4.7,5.7,0.803,0.8,5.4,6.2,6.3,1.1,0.5,2.7,2.3,21.5,16.3,-0.5,0
Devin Booker,1,8.6,19.0,0.447,2.1,6.7,0.300,5.0,5.9,0.840,0.5,3.1,3.6,6.8,0.9,0.2,3.9,3.3,24.3,15.9,-6.2,0
Luka Doncic,1,6.5,15.3,0.423,2.3,6.6,0.357,4.5,6.1,0.712,1.1,5.7,6.8,5.3,1.2,0.3,3.2,1.8,19.9,14.7,0.1,0
Al Horford,2,5.1,9.8,0.536,1.2,3.2,0.367,0.9,1.1,0.732,1.6,4.7,6.4,3.6,0.8,1.4,1.6,1.9,12.2,11.7,3.1,0
Chris Paul,1,5.3,12.7,0.404,2.0,5.8,0.310,3.0,3.7,0.814,0.6,3.4,4.0,8.0,2.1,0.3,3.0,2.6,15.6,13.9,0.9,0
Pascal Siakam,2,5.9,10.4,0.565,0.7,2.2,0.316,2.6,3.3,0.770,1.6,5.4,7.0,2.9,1.0,0.7,1.8,3.0,15.0,13.0,6.8,0
De'Aaron Fox,1,6.2,13.5,0.455,1.1,3.0,0.344,3.9,5.4,0.707,0.6,3.0,3.6,7.3,1.8,0.5,2.9,2.6,17.4,14.5,1.0,0
Danilo Gallinari,2,5.8,12.8,0.446,2.4,5.5,0.440,5.0,5.5,0.902,0.9,5.0,6.0,2.5,0.7,0.3,1.4,2.1,19.0,14.7,-0.2,0
Tobias Harris,2,7.7,15.4,0.492,2.0,4.6,0.412,3.5,3.9,0.884,0.7,7.3,8.0,2.5,0.8,0.4,1.9,2.1,21.0,15.9,0.8,0
Eric Bledsoe,1,6.1,12.2,0.497,1.5,4.7,0.298,2.2,2.9,0.791,1.0,3.4,4.4,5.5,1.4,0.4,2.1,2.2,15.8,13.7,7.6,0
Jayson Tatum,2,6.0,13.4,0.440,1.6,4.4,0.378,2.6,3.1,0.875,1.0,5.2,6.2,1.8,1.0,0.8,1.6,2.1,16.3,11.9,5.5,0
Donovan Mitchell,1,8.2,19.2,0.424,2.3,6.9,0.316,3.6,4.6,0.796,0.6,3.1,3.7,3.8,1.6,0.4,2.8,2.7,22.3,13.8,3.9,0
Domantas Sabonis,2,5.9,9.5,0.632,0.2,0.2,0.750,3.0,4.0,0.762,2.6,6.9,9.5,2.8,0.6,0.5,2.2,3.1,14.9,13.7,4.0,0
Justise Winslow,2,4.6,10.8,0.412,1.3,3.6,0.361,1.5,2.3,0.652,0.9,4.4,5.2,4.1,1.0,0.3,2.1,2.5,12.1,9.1,1.9,0
Jusuf Nurkic,3,5.7,11.3,0.508,0.1,0.5,0.119,3.7,4.9,0.700,3.4,7.0,10.4,3.2,1.1,1.5,2.3,3.3,15.2,14.2,4.9,0
Josh Richardson,1,6.2,15.1,0.407,2.5,6.7,0.363,2.9,3.4,0.854,0.8,3.1,3.8,3.9,1.1,0.5,1.7,2.8,17.8,12.4,1.6,0
Marcus Morris,2,5.3,11.0,0.472,2.2,5.1,0.418,2.0,2.3,0.857,0.8,5.1,6.0,1.4,0.6,0.3,1.3,2.6,14.8,10.7,4.3,0
John Collins,2,7.9,13.3,0.590,0.9,2.3,0.314,2.7,3.8,0.707,3.8,6.5,10.3,2.4,0.3,0.4,2.2,3.4,19.3,15.9,-0.2,0
Myles Turner,3,5.2,10.4,0.504,0.8,2.0,0.407,1.6,2.3,0.670,1.5,5.9,7.4,1.7,0.5,2.8,1.5,2.6,12.8,11.3,3.1,0
