Player Identifier,Position,GP,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Classification
jamesle01,Point-Forward,42,34:49:00,9.6,19.6,0.492,2.1,6,0.343,3.8,5.5,0.694,1,6.6,7.6,10.8,1.4,0.5,3.8,1.7,25.1,22.1,8.3,Selected
antetgi01,Point-Forward,42,30:37:00,11,19.9,0.554,1.6,5.1,0.322,6.2,10.3,0.606,2.3,10.6,12.9,5.6,1.1,1,3.6,3.1,30,24.5,10.3,Selected
davisan02,Forward,37,34:41:00,9.2,18.3,0.503,1.1,3.5,0.3,7.2,8.3,0.866,2.2,7,9.2,3.2,1.5,2.5,2.4,2.5,26.6,22.9,5.1,Selected
embiijo01,Center,31,31:03:00,7.7,16.3,0.472,1.2,3.8,0.322,6.8,8.1,0.837,2.5,9.8,12.3,3.3,0.8,1.4,3,3.5,23.4,18.9,4.3,Selected
hardeja01,Guard,42,37:07:00,10.6,24,0.441,4.8,13.2,0.36,10.7,12.5,0.859,1.1,5.1,6.2,7.4,1.6,0.9,4.6,3.2,36.6,27.2,4.6,Selected
siakapa01,Point-Forward,33,35:12:00,8.8,19.4,0.454,2.2,5.9,0.367,3.7,4.5,0.812,1.2,6.5,7.7,3.5,1,1,2.5,2.8,23.5,16.3,6.7,Selected
leonaka01,Forward,34,32:12:00,9.6,20.6,0.466,1.9,5.4,0.355,6.1,6.8,0.888,1.1,6.3,7.4,5,2,0.6,3.2,2,27.1,20.8,8.2,Selected
walkeke02,Guard,38,31:40:00,7.3,16.6,0.443,3.4,8.7,0.39,3.6,4.2,0.862,0.8,3.2,4,5,0.9,0.6,2.2,1.5,21.7,16.4,5.4,Selected
doncilu01,Point-Forward,39,32:51:00,9.5,20.3,0.466,3,9.1,0.327,7.2,9.3,0.777,1.5,8.3,9.8,9,1,0.2,4.3,2.4,29.1,23.5,5.8,Selected
youngtr01,Guard,40,35:05:00,9.3,20.8,0.447,3.5,9.3,0.373,7,8.4,0.839,0.6,4,4.6,8.6,1.2,0.1,4.8,1.6,29.2,21.3,-4.9,Selected
bookede01,Guard,44,35:59:00,9.3,18.2,0.51,2,5.3,0.368,6.5,7.1,0.917,0.5,3.5,4,6.4,0.8,0.2,3.9,3.1,27.1,19.6,2.1,Selected
adebaba01,Center,47,34:28:00,6.1,10.4,0.589,0,0.2,0.091,3.6,5.3,0.692,2.5,7.9,10.4,4.7,1.2,1.1,2.8,2.5,16,16.1,4,Selected
paulch01,Guard,48,31:35:00,6,12.5,0.478,1.6,4.4,0.357,3.6,4,0.895,0.3,4.7,5,6.5,1.6,0.1,2.1,2.3,17.1,15.4,4.8,Selected
ingrabr01,Forward,43,34:27:00,8.6,18.2,0.471,2.5,6.2,0.404,5.4,6.3,0.856,0.9,5.4,6.3,4.3,0.9,0.8,3,2.9,25,17.8,-2,Selected
lillada01,Guard,46,37:04:00,9,19.8,0.456,3.8,9.9,0.385,7.1,8,0.886,0.5,3.9,4.4,7.8,1,0.3,2.9,1.7,29,22.9,1.2,Selected
mitchdo01,Guard,46,34:20:00,9.2,20,0.462,2.4,6.6,0.368,4.1,4.8,0.864,0.7,3.5,4.2,4.2,1.2,0.2,2.5,2.4,25,16.9,4.1,Selected
jokicni01,Center,47,31:57:00,7.6,15,0.507,1.3,3.9,0.324,3.3,4.1,0.8,2.5,7.7,10.2,6.5,1,0.6,2.9,3.1,19.8,17.9,4.2,Selected
butleji01,Forward,41,34:48:00,5.9,13.3,0.441,0.6,2.6,0.245,7.9,9.5,0.835,1.9,5,6.9,6.4,1.8,0.6,2.3,1.4,20.2,19.3,5.7,Selected
simmobe01,Point-Forward,46,36:00:00,6.6,11.4,0.58,0,0.1,0.4,3,5,0.607,1.9,5.8,7.7,8.4,2.2,0.6,3.5,3.3,16.3,17,2.8,Selected
goberru01,Center,45,34:19:00,6,8.7,0.686,0,0,,3.7,6.1,0.611,3.7,10.9,14.6,1.6,0.7,2,2,3.1,15.7,16.9,7.4,Selected
sabondo01,Forward,45,34:25:00,7.2,13.5,0.535,0.2,1,0.239,3.4,4.6,0.726,3.4,9.4,12.8,4.6,0.8,0.6,2.7,3.4,18,16.4,4.2,Selected
lowryky01,Guard,36,36:55:00,5.9,14.4,0.41,2.9,8.4,0.344,5.1,5.9,0.859,0.5,4.1,4.6,7.4,1.2,0.4,2.8,3.2,19.8,15.9,3.5,Selected
tatumja01,Forward,42,33:56:00,7.9,18.2,0.435,2.4,6.6,0.366,3.3,3.9,0.841,1,5.9,6.9,2.9,1.4,0.8,2.1,2,21.5,15.2,8,Selected
middlkh01,Forward,40,28:47:00,7.4,14.6,0.503,2.3,5.3,0.432,3.2,3.5,0.9,0.8,5,5.8,3.9,1,0.2,2,2.2,20.2,15.8,9.1,Selected
westbru01,Guard,40,35:50:00,10.1,22.1,0.455,1,4.2,0.235,5.2,6.6,0.787,1.7,6.4,8.1,7.4,1.6,0.4,4.5,3.6,26.3,18.5,2.6,Selected
wiggian01,Forward,39,34:48:00,8.6,19.2,0.448,2.2,6.7,0.333,3.5,4.9,0.721,1.2,4,5.2,3.7,0.7,0.9,2.5,2.4,22.9,14.9,-2.2,Not selected
rosste01,Guard,46,26:02:00,4.6,11.6,0.395,2.2,6.8,0.326,2,2.4,0.838,0.2,2.8,3,1,1.1,0.3,0.9,1.6,13.4,8.4,-2.2,Not selected
jordade01,Center,38,20:59,3.2,4.9,0.659,0,0,,1.4,2.1,0.679,2.3,7.3,9.6,2,0.4,1,1.3,2,7.9,9.7,-2.6,Not selected
allenja01,Center,46,27:14:00,4.4,6.9,0.642,0,0.1,0,2.5,4,0.639,3.1,6.6,9.7,1.2,0.7,1.5,1.2,2.5,11.4,12.3,0.5,Not selected
kuzmaky01,Forward,37,24:59:00,4.8,11.1,0.43,1.6,4.7,0.337,1.8,2.4,0.744,0.8,3.2,4,1.1,0.3,0.4,1.5,1.8,12.9,7.4,3.2,Not selected
harrijo01,Forward,45,31:38:00,5.1,11.2,0.458,2.4,6,0.399,1,1.4,0.734,0.9,3.2,4.1,2.1,0.7,0.3,1.5,2.4,13.7,9.2,1.2,Not selected
murrade01,Guard,43,24:09:00,4.2,8.6,0.486,0.5,1.4,0.355,1.2,1.6,0.779,1.2,4.5,5.7,3.9,1.6,0.3,2.1,2.2,10.1,9.4,-3.7,Not selected
dinwisp01,Guard,46,31:09:00,7,16.7,0.421,1.9,6.3,0.304,5.4,7,0.775,0.4,2.9,3.3,6.5,0.7,0.3,2.8,2.9,21.4,14.5,0.4,Not selected
whitede01,Guard,45,23:46,3.4,7.4,0.464,1,2.6,0.383,2.1,2.5,0.823,0.5,2.5,3,3.3,0.6,0.8,1.2,2.1,9.9,8.4,0.8,Not selected
lavinza01,Guard,50,34:26:00,8.7,19.8,0.44,3.1,8.1,0.38,4.7,5.6,0.83,0.7,4.2,4.9,4,1.4,0.5,3.2,2.2,25.1,16.5,-1.5,Not selected
greenda02,Guard,45,25:05:00,3.2,7.4,0.425,1.9,5.1,0.378,0.6,0.8,0.703,0.7,2.8,3.5,1.3,1.3,0.5,0.9,2.2,8.8,6.9,5,Not selected
valanjo01,Center,45,25:42:00,6.3,10.7,0.588,0.6,1.5,0.394,1.8,2.5,0.732,2.8,7.4,10.2,2,0.4,1,1.9,2.7,14.9,13.4,-0.1,Not selected
teaguje01,Guard,40,26:49:00,4,9,0.442,0.9,2.4,0.383,3.2,3.8,0.867,0.5,2.1,2.6,5.9,0.8,0.4,2.2,2,12.2,10.3,-2.5,Not selected
aminual01,Forward,18,21:06,1.4,4.8,0.291,0.5,2,0.25,1.1,1.6,0.655,1.3,3.5,4.8,1.2,1,0.4,0.9,1.5,4.3,3.9,-1.9,Not selected
jacksja02,Center,47,28:03:00,6.4,13.4,0.479,2.6,6.5,0.405,2.2,2.9,0.745,1,3.7,4.7,1.4,0.7,1.6,1.7,4.1,17.7,11.7,-1.5,Not selected
smartma01,Guard,37,31:31:00,4.1,11,0.369,2.2,6.5,0.344,1.7,2.1,0.831,0.8,2.8,3.6,4.8,1.5,0.5,1.4,2.5,12.1,10.1,3.4,Not selected
beverpa01,Guard,36,28:20:00,3.1,7.2,0.423,1.5,4.3,0.351,0.7,1.1,0.632,1.3,4.7,6,4,1.3,0.6,1.3,3.2,8.3,8.5,5,Not selected
ibakase01,Center,37,26:12:00,6.1,12,0.507,1,2.7,0.374,1.8,2.5,0.739,2.1,6.1,8.2,1.3,0.6,0.8,1.8,2.7,15,11.2,1.2,Not selected
randlju01,Forward,47,32:19:00,7,15.7,0.449,1.1,4.1,0.273,3.8,5.3,0.705,2.3,7.1,9.4,3.3,0.8,0.3,3,2.8,19,13,-4,Not selected
harremo01,Center,46,28:43:00,7.8,13.8,0.568,0,0.3,0,3.6,5.8,0.63,2.8,4.4,7.2,1.8,0.7,1.1,1.9,2.3,19.3,15.1,4.2,Not selected
markkla01,Forward,46,30:19:00,5.1,12,0.424,2.2,6.4,0.344,2.7,3.2,0.826,1.2,5.2,6.4,1.5,0.8,0.5,1.7,2,15,10.6,-1.7,Not selected
tuckepj01,Forward,47,35:01:00,2.7,6,0.443,1.4,4,0.364,0.7,0.9,0.833,1.6,5.6,7.2,1.7,1.2,0.4,1.1,3.4,7.5,7.3,2.4,Not selected
rubiori01,Guard,40,32:06:00,4.6,11.4,0.406,1.2,3.4,0.336,2.4,3,0.81,0.8,3.9,4.7,8.8,1.4,0.2,2.6,2.4,12.8,12.3,2.5,Not selected
barneha02,Forward,47,34:59:00,5.1,11.4,0.449,1.3,3.7,0.345,3.4,4.2,0.794,0.9,3.9,4.8,2,0.6,0.1,1.3,1.1,14.9,10.9,-1.2,Not selected
