Position,GP,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Classification
Point-Forward,42,34:49,9.6,19.6,0.492,2.1,6,0.343,3.8,5.5,0.694,1,6.6,7.6,10.8,1.4,0.5,3.8,1.7,25.1,22.1,8.3,Selected
Point-Forward,42,30:37,11,19.9,0.554,1.6,5.1,0.322,6.2,10.3,0.606,2.3,10.6,12.9,5.6,1.1,1,3.6,3.1,30,24.5,10.3,Selected
Forward,37,34:41,9.2,18.3,0.503,1.1,3.5,0.3,7.2,8.3,0.866,2.2,7,9.2,3.2,1.5,2.5,2.4,2.5,26.6,22.9,5.1,Selected
Center,31,31:03,7.7,16.3,0.472,1.2,3.8,0.322,6.8,8.1,0.837,2.5,9.8,12.3,3.3,0.8,1.4,3,3.5,23.4,18.9,4.3,Selected
Guard,42,37:07,10.6,24,0.441,4.8,13.2,0.36,10.7,12.5,0.859,1.1,5.1,6.2,7.4,1.6,0.9,4.6,3.2,36.6,27.2,4.6,Selected
Point-Forward,33,35:12,8.8,19.4,0.454,2.2,5.9,0.367,3.7,4.5,0.812,1.2,6.5,7.7,3.5,1,1,2.5,2.8,23.5,16.3,6.7,Selected
Forward,34,32:12,9.6,20.6,0.466,1.9,5.4,0.355,6.1,6.8,0.888,1.1,6.3,7.4,5,2,0.6,3.2,2,27.1,20.8,8.2,Selected
Guard,38,31:40,7.3,16.6,0.443,3.4,8.7,0.39,3.6,4.2,0.862,0.8,3.2,4,5,0.9,0.6,2.2,1.5,21.7,16.4,5.4,Selected
Point-Forward,39,32:51,9.5,20.3,0.466,3,9.1,0.327,7.2,9.3,0.777,1.5,8.3,9.8,9,1,0.2,4.3,2.4,29.1,23.5,5.8,Selected
Guard,40,35:05,9.3,20.8,0.447,3.5,9.3,0.373,7,8.4,0.839,0.6,4,4.6,8.6,1.2,0.1,4.8,1.6,29.2,21.3,-4.9,Selected
Guard,44,35:59,9.3,18.2,0.51,2,5.3,0.368,6.5,7.1,0.917,0.5,3.5,4,6.4,0.8,0.2,3.9,3.1,27.1,19.6,2.1,Selected
Center,47,34:28,6.1,10.4,0.589,0,0.2,0.091,3.6,5.3,0.692,2.5,7.9,10.4,4.7,1.2,1.1,2.8,2.5,16,16.1,4,Selected
Guard,48,31:35,6,12.5,0.478,1.6,4.4,0.357,3.6,4,0.895,0.3,4.7,5,6.5,1.6,0.1,2.1,2.3,17.1,15.4,4.8,Selected
Forward,43,34:27,8.6,18.2,0.471,2.5,6.2,0.404,5.4,6.3,0.856,0.9,5.4,6.3,4.3,0.9,0.8,3,2.9,25,17.8,-2,Selected
Guard,46,37:04,9,19.8,0.456,3.8,9.9,0.385,7.1,8,0.886,0.5,3.9,4.4,7.8,1,0.3,2.9,1.7,29,22.9,1.2,Selected
Guard,46,34:20,9.2,20,0.462,2.4,6.6,0.368,4.1,4.8,0.864,0.7,3.5,4.2,4.2,1.2,0.2,2.5,2.4,25,16.9,4.1,Selected
Center,47,31:57,7.6,15,0.507,1.3,3.9,0.324,3.3,4.1,0.8,2.5,7.7,10.2,6.5,1,0.6,2.9,3.1,19.8,17.9,4.2,Selected
Forward,41,34:48,5.9,13.3,0.441,0.6,2.6,0.245,7.9,9.5,0.835,1.9,5,6.9,6.4,1.8,0.6,2.3,1.4,20.2,19.3,5.7,Selected
Point-Forward,46,36:00,6.6,11.4,0.58,0,0.1,0.4,3,5,0.607,1.9,5.8,7.7,8.4,2.2,0.6,3.5,3.3,16.3,17,2.8,Selected
Center,45,34:19,6,8.7,0.686,0,0,,3.7,6.1,0.611,3.7,10.9,14.6,1.6,0.7,2,2,3.1,15.7,16.9,7.4,Selected
Forward,45,34:25,7.2,13.5,0.535,0.2,1,0.239,3.4,4.6,0.726,3.4,9.4,12.8,4.6,0.8,0.6,2.7,3.4,18,16.4,4.2,Selected
Guard,36,36:55,5.9,14.4,0.41,2.9,8.4,0.344,5.1,5.9,0.859,0.5,4.1,4.6,7.4,1.2,0.4,2.8,3.2,19.8,15.9,3.5,Selected
Forward,42,33:56,7.9,18.2,0.435,2.4,6.6,0.366,3.3,3.9,0.841,1,5.9,6.9,2.9,1.4,0.8,2.1,2,21.5,15.2,8,Selected
Forward,40,28:47,7.4,14.6,0.503,2.3,5.3,0.432,3.2,3.5,0.9,0.8,5,5.8,3.9,1,0.2,2,2.2,20.2,15.8,9.1,Selected
Guard,40,35:50,10.1,22.1,0.455,1,4.2,0.235,5.2,6.6,0.787,1.7,6.4,8.1,7.4,1.6,0.4,4.5,3.6,26.3,18.5,2.6,Selected
Forward,39,34:48,8.6,19.2,0.448,2.2,6.7,0.333,3.5,4.9,0.721,1.2,4,5.2,3.7,0.7,0.9,2.5,2.4,22.9,14.9,-2.2,Not selected
Guard,46,26:02,4.6,11.6,0.395,2.2,6.8,0.326,2,2.4,0.838,0.2,2.8,3,1,1.1,0.3,0.9,1.6,13.4,8.4,-2.2,Not selected
Center,38,20:59,3.2,4.9,0.659,0,0,,1.4,2.1,0.679,2.3,7.3,9.6,2,0.4,1,1.3,2,7.9,9.7,-2.6,Not selected
