Position,GP,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Classification
Center,31,31.05,7.7,16.3,0.472,1.2,3.8,0.322,6.8,8.1,0.837,2.5,9.8,12.3,3.3,0.8,1.4,3,3.5,23.4,18.9,4.3,Selected
Center,47,34.47,6.1,10.4,0.589,0,0.2,0.091,3.6,5.3,0.692,2.5,7.9,10.4,4.7,1.2,1.1,2.8,2.5,16,16.1,4,Selected
Center,47,31.95,7.6,15,0.507,1.3,3.9,0.324,3.3,4.1,0.8,2.5,7.7,10.2,6.5,1,0.6,2.9,3.1,19.8,17.9,4.2,Selected
Center,45,34.32,6,8.7,0.686,0,0,,3.7,6.1,0.611,3.7,10.9,14.6,1.6,0.7,2,2,3.1,15.7,16.9,7.4,Selected
Center,38,20.98,3.2,4.9,0.659,0,0,,1.4,2.1,0.679,2.3,7.3,9.6,2,0.4,1,1.3,2,7.9,9.7,-2.6,Not selected
Center,46,27.23,4.4,6.9,0.642,0,0.1,0,2.5,4,0.639,3.1,6.6,9.7,1.2,0.7,1.5,1.2,2.5,11.4,12.3,0.5,Not selected
Center,45,25.7,6.3,10.7,0.588,0.6,1.5,0.394,1.8,2.5,0.732,2.8,7.4,10.2,2,0.4,1,1.9,2.7,14.9,13.4,-0.1,Not selected
Center,47,28.05,6.4,13.4,0.479,2.6,6.5,0.405,2.2,2.9,0.745,1,3.7,4.7,1.4,0.7,1.6,1.7,4.1,17.7,11.7,-1.5,Not selected
Center,37,26.2,6.1,12,0.507,1,2.7,0.374,1.8,2.5,0.739,2.1,6.1,8.2,1.3,0.6,0.8,1.8,2.7,15,11.2,1.2,Not selected
Center,46,28.72,7.8,13.8,0.568,0,0.3,0,3.6,5.8,0.63,2.8,4.4,7.2,1.8,0.7,1.1,1.9,2.3,19.3,15.1,4.2,Not selected
Center,45,26.37,3.7,8.9,0.416,1.4,4.7,0.297,1.4,1.6,0.859,0.6,4,4.6,1.6,0.7,2.5,0.9,2.2,10.1,8.8,8.4,Not selected
Center,39,32.8,6.3,9.9,0.629,0,0,,1.4,2.7,0.529,4.3,9.5,13.8,1.2,0.8,1.8,1.6,2.6,13.9,15.2,1.5,Not selected
Center,29,24.32,4.5,7.2,0.622,0,0.1,0.25,0.9,1.6,0.587,3.2,6.7,9.9,1.9,0.6,1.1,1.2,2.3,9.9,11.3,1.3,Not selected
Center,38,28.92,4.3,9.6,0.446,1.4,4.2,0.335,2.1,2.9,0.743,1.2,4.8,6,1.2,0.7,1.9,1.2,2.6,12.1,9.7,0.9,Not selected
Center,37,31.6,7.4,16.6,0.442,1.7,4.8,0.356,2.2,2.8,0.814,2.7,8.3,11,3.5,0.9,0.8,1.4,2.3,18.6,15.8,0.2,Not selected
Center,35,27.82,2.8,6.6,0.424,1.4,3.5,0.403,0.7,1,0.722,0.8,5.6,6.4,3.5,0.8,0.9,1.2,2.9,7.8,7.9,6.9,Not selected
Center,43,26.75,4.5,7.5,0.599,0,0,0,1.9,3.3,0.579,3.4,6,9.4,2.6,0.7,1.1,1.4,1.8,10.9,12.2,3,Not selected
Center,45,33.65,7.1,13.5,0.522,0,0.5,0.048,3,5.1,0.589,4.5,11.1,15.6,2.8,2.1,1.8,3.6,3.7,17.2,16.3,-2.6,Not selected
Center,44,31.12,5.1,11.4,0.451,1.4,4.3,0.321,0.9,1.2,0.722,1.6,5.1,6.7,4,1,0.9,1.1,2.2,12.5,11.5,3,Not selected
Center,43,33.15,7.4,14.6,0.51,1.2,2.8,0.429,3,3.6,0.845,2,5.5,7.5,2.3,0.6,1.7,1.4,2.5,19.1,15.8,-2.6,Not selected
Center,30,33.47,9.2,18.1,0.511,3.4,8.2,0.412,5,6.2,0.812,2.7,8,10.7,4.2,0.9,1.2,3.2,3.4,26.9,21.9,-0.4,Not selected
Center,46,33.45,9.1,18.5,0.491,1.2,3.9,0.309,7.9,9.8,0.801,2.4,10.9,13.3,3.5,0.6,2,3.5,3.3,27.2,21.7,5.9,Selected
Center,51,33.07,8.2,16.4,0.498,1.7,4.6,0.376,4.5,5.3,0.849,3.4,8.7,12.1,3.1,0.9,1.9,2.8,3.8,22.6,19.2,1.9,Selected
Center,49,31.4,7.6,15.1,0.506,1.1,3.7,0.309,3.7,4.4,0.851,2.8,7.6,10.4,7.7,1.4,0.7,3.1,2.8,20.1,19.7,4.9,Selected
Center,50,31.25,8.7,16.7,0.52,1.2,3.1,0.377,2.2,2.8,0.775,2.7,9.3,12,3.8,1,1.2,2,2,20.7,18.6,0.5,Selected
Center,52,32.62,8.3,16.1,0.516,0.1,0.4,0.211,4.4,5.2,0.847,3,5.8,8.8,2.6,0.5,1.2,1.9,2.1,21.1,17.1,0.6,Selected
Center,49,27.87,4.3,9.4,0.456,2.6,6.5,0.391,1,1.2,0.803,0.4,3.7,4.1,1,0.4,2.1,1,2.2,12.2,9.4,6.9,Not selected
Center,21,13.57,1.7,3.4,0.493,0.2,0.5,0.5,1.1,1.5,0.719,0.8,4.4,5.2,1.9,0.1,0.6,0.6,1.1,4.7,5.5,-0.5,Not selected
Center,48,28.82,6.7,12.7,0.529,0.7,2.5,0.27,2,2.6,0.78,2.1,5.5,7.6,1.4,0.5,1.3,1.8,3.1,16.1,12.1,5.2,Not selected
Center,9,25.5,4.8,7.7,0.623,0,0,,3.2,5.3,0.604,2.7,6.6,9.3,0.4,0.8,0.4,1.8,3.8,12.8,10.4,-5.6,Not selected
Center,5,21.78,5.2,10.6,0.491,1.2,2.2,0.545,3.6,4.6,0.783,1,6,7,3.6,0.8,0.6,1.8,4.2,15.2,12.2,7.2,Not selected
Center,45,28.1,5.2,10.4,0.502,0.8,2.1,0.385,1.6,2.3,0.692,1.4,5.8,7.2,1.7,0.6,2.7,1.5,2.6,12.8,11.3,2.1,Not selected
Center,51,27.38,5.7,11.3,0.501,0.1,0.5,0.12,3.8,5,0.753,3.4,7,10.4,3.2,1.1,1.6,2.3,3.3,15.2,14.3,5.2,Not selected
Center,30,18.8,5,8.6,0.575,0.3,1,0.3,2.6,3.1,0.819,1.8,5.4,7.2,1,0.4,0.8,1.3,2.7,12.8,10.6,2.3,Not selected
Center,51,23.17,4.4,7.7,0.57,0.3,1.2,0.237,2,3.1,0.647,2.7,4.5,7.2,1,0.7,1.2,1.1,2.2,11,10.5,0.1,Not selected
Center,46,33.1,6.9,13.9,0.5,0.1,0.7,0.133,2.6,4.8,0.534,5.2,9.6,14.8,1.2,1.6,1.6,2.4,3.3,16.5,15.1,-1.3,Not selected
Center,50,31.08,4.2,6.5,0.644,0,0,,2.7,4,0.682,3.2,10.5,13.7,2,0.7,1.1,2.2,2.5,11,12.6,-0.4,Not selected
Center,51,33.92,5.7,12.8,0.442,1.5,4.2,0.352,2.9,3.8,0.76,1.1,7.6,8.7,4.7,1.2,1.2,2.3,2.8,15.7,13.5,-1.1,Not selected
Center,48,34.15,6.5,10.6,0.613,0,0,0,2.4,4.3,0.556,4.7,5.3,10,1.8,1.5,0.8,1.6,2.6,15.4,15.3,6.7,Not selected
Center,42,34.18,7.5,11.9,0.631,0,0,,2.6,4.1,0.626,5,7.6,12.6,1.5,0.6,1.8,1.5,2.7,17.6,17.7,0.6,Not selected
Center,41,28.27,5.3,9.9,0.531,1.1,3.1,0.362,0.9,1.1,0.778,1.8,4.8,6.6,3.7,0.8,1.5,1.7,1.9,12.5,12.3,3.5,Not selected
Center,52,31.62,5.6,8.7,0.65,0,0,,3.8,5.8,0.648,3.8,9.1,12.9,2.2,0.9,2.2,1.5,2.8,15,17.1,4.4,Not selected
Center,44,36.05,8.5,18.2,0.469,2.2,6.1,0.352,6,8.1,0.747,2.2,10.5,12.7,5.1,1.6,1.6,5,3.8,25.2,19.5,0.9,Selected
Center,31,31.32,8.2,16.9,0.486,0.9,3.1,0.289,6.5,8.2,0.798,2.2,8.6,10.8,3.4,0.6,1.9,4.2,3.5,23.8,17.5,6.3,Selected
Center,43,32.92,5.7,10.5,0.543,0,0.1,0,3,4.7,0.629,4.9,10.1,15,3.9,1.5,1.2,2.7,3.3,14.3,16.1,0.1,Selected
Center,43,32.68,5.4,10.4,0.514,1.4,3.3,0.43,1.2,1.6,0.725,1.4,6.3,7.7,5.3,0.6,1,2,1.8,13.3,13.2,6.2,Selected
Center,49,35.58,7.4,13.8,0.537,1.5,3.6,0.412,3.7,4.4,0.839,2.8,9.3,12.1,2.3,0.8,1.6,2,3.4,20,17.9,5.7,Selected
