Position,GP,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Classification
Forward,37,34.68,9.2,18.3,0.503,1.1,3.5,0.3,7.2,8.3,0.866,2.2,7,9.2,3.2,1.5,2.5,2.4,2.5,26.6,22.9,5.1,Selected
Forward,34,32.2,9.6,20.6,0.466,1.9,5.4,0.355,6.1,6.8,0.888,1.1,6.3,7.4,5,2,0.6,3.2,2,27.1,20.8,8.2,Selected
Forward,43,34.45,8.6,18.2,0.471,2.5,6.2,0.404,5.4,6.3,0.856,0.9,5.4,6.3,4.3,0.9,0.8,3,2.9,25,17.8,-2,Selected
Forward,41,34.8,5.9,13.3,0.441,0.6,2.6,0.245,7.9,9.5,0.835,1.9,5,6.9,6.4,1.8,0.6,2.3,1.4,20.2,19.3,5.7,Selected
Forward,45,34.42,7.2,13.5,0.535,0.2,1,0.239,3.4,4.6,0.726,3.4,9.4,12.8,4.6,0.8,0.6,2.7,3.4,18,16.4,4.2,Selected
Forward,42,33.93,7.9,18.2,0.435,2.4,6.6,0.366,3.3,3.9,0.841,1,5.9,6.9,2.9,1.4,0.8,2.1,2,21.5,15.2,8,Selected
Forward,40,28.78,7.4,14.6,0.503,2.3,5.3,0.432,3.2,3.5,0.9,0.8,5,5.8,3.9,1,0.2,2,2.2,20.2,15.8,9.1,Selected
Forward,39,34.8,8.6,19.2,0.448,2.2,6.7,0.333,3.5,4.9,0.721,1.2,4,5.2,3.7,0.7,0.9,2.5,2.4,22.9,14.9,-2.2,Not selected
Forward,37,24.98,4.8,11.1,0.43,1.6,4.7,0.337,1.8,2.4,0.744,0.8,3.2,4,1.1,0.3,0.4,1.5,1.8,12.9,7.4,3.2,Not selected
Forward,45,31.63,5.1,11.2,0.458,2.4,6,0.399,1,1.4,0.734,0.9,3.2,4.1,2.1,0.7,0.3,1.5,2.4,13.7,9.2,1.2,Not selected
Forward,18,21.1,1.4,4.8,0.291,0.5,2,0.25,1.1,1.6,0.655,1.3,3.5,4.8,1.2,1,0.4,0.9,1.5,4.3,3.9,-1.9,Not selected
Forward,47,32.32,7,15.7,0.449,1.1,4.1,0.273,3.8,5.3,0.705,2.3,7.1,9.4,3.3,0.8,0.3,3,2.8,19,13,-4,Not selected
