Position,GP,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Classification
Guard,42,37.12,10.6,24,0.441,4.8,13.2,0.36,10.7,12.5,0.859,1.1,5.1,6.2,7.4,1.6,0.9,4.6,3.2,36.6,27.2,4.6,Selected
Guard,38,31.67,7.3,16.6,0.443,3.4,8.7,0.39,3.6,4.2,0.862,0.8,3.2,4,5,0.9,0.6,2.2,1.5,21.7,16.4,5.4,Selected
Guard,40,35.08,9.3,20.8,0.447,3.5,9.3,0.373,7,8.4,0.839,0.6,4,4.6,8.6,1.2,0.1,4.8,1.6,29.2,21.3,-4.9,Selected
Guard,44,35.98,9.3,18.2,0.51,2,5.3,0.368,6.5,7.1,0.917,0.5,3.5,4,6.4,0.8,0.2,3.9,3.1,27.1,19.6,2.1,Selected
Guard,48,31.58,6,12.5,0.478,1.6,4.4,0.357,3.6,4,0.895,0.3,4.7,5,6.5,1.6,0.1,2.1,2.3,17.1,15.4,4.8,Selected
Guard,46,37.07,9,19.8,0.456,3.8,9.9,0.385,7.1,8,0.886,0.5,3.9,4.4,7.8,1,0.3,2.9,1.7,29,22.9,1.2,Selected
Guard,46,34.33,9.2,20,0.462,2.4,6.6,0.368,4.1,4.8,0.864,0.7,3.5,4.2,4.2,1.2,0.2,2.5,2.4,25,16.9,4.1,Selected
Guard,36,36.92,5.9,14.4,0.41,2.9,8.4,0.344,5.1,5.9,0.859,0.5,4.1,4.6,7.4,1.2,0.4,2.8,3.2,19.8,15.9,3.5,Selected
Guard,40,35.83,10.1,22.1,0.455,1,4.2,0.235,5.2,6.6,0.787,1.7,6.4,8.1,7.4,1.6,0.4,4.5,3.6,26.3,18.5,2.6,Selected
Guard,46,26.03,4.6,11.6,0.395,2.2,6.8,0.326,2,2.4,0.838,0.2,2.8,3,1,1.1,0.3,0.9,1.6,13.4,8.4,-2.2,Not selected
Guard,43,24.15,4.2,8.6,0.486,0.5,1.4,0.355,1.2,1.6,0.779,1.2,4.5,5.7,3.9,1.6,0.3,2.1,2.2,10.1,9.4,-3.7,Not selected
Guard,46,31.15,7,16.7,0.421,1.9,6.3,0.304,5.4,7,0.775,0.4,2.9,3.3,6.5,0.7,0.3,2.8,2.9,21.4,14.5,0.4,Not selected
Guard,45,23.77,3.4,7.4,0.464,1,2.6,0.383,2.1,2.5,0.823,0.5,2.5,3,3.3,0.6,0.8,1.2,2.1,9.9,8.4,0.8,Not selected
Guard,50,34.43,8.7,19.8,0.44,3.1,8.1,0.38,4.7,5.6,0.83,0.7,4.2,4.9,4,1.4,0.5,3.2,2.2,25.1,16.5,-1.5,Not selected
Guard,45,25.08,3.2,7.4,0.425,1.9,5.1,0.378,0.6,0.8,0.703,0.7,2.8,3.5,1.3,1.3,0.5,0.9,2.2,8.8,6.9,5,Not selected
Guard,40,26.82,4,9,0.442,0.9,2.4,0.383,3.2,3.8,0.867,0.5,2.1,2.6,5.9,0.8,0.4,2.2,2,12.2,10.3,-2.5,Not selected
Guard,37,31.52,4.1,11,0.369,2.2,6.5,0.344,1.7,2.1,0.831,0.8,2.8,3.6,4.8,1.5,0.5,1.4,2.5,12.1,10.1,3.4,Not selected
Guard,36,28.33,3.1,7.2,0.423,1.5,4.3,0.351,0.7,1.1,0.632,1.3,4.7,6,4,1.3,0.6,1.3,3.2,8.3,8.5,5,Not selected
Guard,40,32.1,4.6,11.4,0.406,1.2,3.4,0.336,2.4,3,0.81,0.8,3.9,4.7,8.8,1.4,0.2,2.6,2.4,12.8,12.3,2.5,Not selected
Guard,38,31.52,5.5,12.6,0.436,1.6,4.8,0.333,2.4,2.9,0.818,0.8,2.5,3.3,3.4,1,0.6,2.1,2.7,15,10,2,Not selected
Guard,43,27.98,4.8,10.7,0.454,3.1,6.7,0.465,2.8,3.2,0.89,0.2,2.6,2.8,1.9,0.3,0.2,1.2,1.5,15.6,10.8,-0.5,Not selected
Guard,23,29.97,5.1,13.6,0.378,3.2,9.1,0.348,2.5,3.4,0.722,0.3,1.9,2.2,1.4,0.5,0.3,1.2,2,15.9,8.6,0,Not selected
Guard,34,30.3,6.1,13.9,0.444,1.4,4.1,0.341,3.3,3.6,0.911,0.7,3.7,4.4,7.4,0.8,0.2,2.5,1.8,17,14.1,3.2,Not selected
Guard,47,33.98,7.4,17.5,0.423,3.7,9.9,0.371,1.9,2.2,0.829,0.9,4.1,5,3.2,0.8,0.3,2.6,2.6,20.3,12.5,-2.2,Not selected
Guard,44,29.98,6.4,15.2,0.419,1.9,5.3,0.366,5,5.8,0.87,0.4,2.6,3,6,0.6,0.2,3,1.4,19.7,13.8,3.2,Not selected
Guard,46,33.25,7,15.4,0.453,3.2,7.5,0.422,4.1,4.5,0.909,0.6,3.5,4.1,2,0.6,0.1,2.7,1.8,21.2,13.2,7,Not selected
Guard,40,32.2,4,9.7,0.416,1.3,4.2,0.311,1.3,1.6,0.828,0.5,2.3,2.8,2.2,1.4,0.3,1,2.3,10.7,7.7,3.2,Not selected
Guard,39,26.3,5.6,11.7,0.482,1.3,3.6,0.353,2.9,3.5,0.844,0.7,3.8,4.5,5.2,0.9,0.5,2.2,2.2,15.5,12.8,8.6,Not selected
Guard,30,32.35,8.4,19.5,0.433,3.7,9.7,0.381,3.5,4.5,0.776,0.4,3.3,3.7,6.3,0.9,0.3,3.1,2.1,24,16.1,-6.2,Not selected
Guard,1,20.95,2,8,0.25,1,7,0.143,4,4,1,0,2,2,4,0,0,2,0,9,5.6,-3,Not selected
Guard,40,31.97,6.5,15,0.435,1.6,5,0.322,3,3.3,0.916,0.8,3.2,4,4.6,1.4,0.3,2.1,1.7,17.6,13.1,5,Not selected
