Position,GP,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Classification
Point-Forward,42,34.82,9.6,19.6,0.492,2.1,6,0.343,3.8,5.5,0.694,1,6.6,7.6,10.8,1.4,0.5,3.8,1.7,25.1,22.1,8.3,Selected
Point-Forward,42,30.62,11,19.9,0.554,1.6,5.1,0.322,6.2,10.3,0.606,2.3,10.6,12.9,5.6,1.1,1,3.6,3.1,30,24.5,10.3,Selected
Point-Forward,33,35.2,8.8,19.4,0.454,2.2,5.9,0.367,3.7,4.5,0.812,1.2,6.5,7.7,3.5,1,1,2.5,2.8,23.5,16.3,6.7,Selected
Point-Forward,39,32.85,9.5,20.3,0.466,3,9.1,0.327,7.2,9.3,0.777,1.5,8.3,9.8,9,1,0.2,4.3,2.4,29.1,23.5,5.8,Selected
Point-Forward,46,36.0,6.6,11.4,0.58,0,0.1,0.4,3,5,0.607,1.9,5.8,7.7,8.4,2.2,0.6,3.5,3.3,16.3,17,2.8,Selected
Point-Forward,30,32.43,6.7,13,0.517,1.5,4,0.372,2,2.3,0.87,0.9,5.3,6.2,4,0.7,0.4,1.8,1.9,17,13.9,5.8,Not selected
Point-Forward,18,28.45,4.9,13.9,0.352,1.5,6.2,0.243,4.2,5.4,0.776,0.9,3.7,4.6,3.3,0.4,0.4,2.2,1.5,15.5,9.2,-1.4,Not selected
Point-Forward,35,29.28,3,7.7,0.384,0.8,3.1,0.266,1.6,2.1,0.77,0.5,5.8,6.3,5.9,1.5,0.8,2.2,2.6,8.4,8.9,-5.6,Not selected
Point-Forward,34,34.65,10,19.3,0.518,2,5.6,0.356,5.3,7.8,0.682,0.9,7.4,8.3,7.1,1.3,0.7,3.4,1.6,27.3,22.4,2.8,Selected
Point-Forward,43,33.07,9.8,16.9,0.578,0.4,2.3,0.182,6.5,9.2,0.704,2.3,10.2,12.5,5.9,1.3,1.4,4,3.3,26.5,23.3,8.9,Selected
Point-Forward,47,36.37,8.9,18.6,0.48,2.4,6.7,0.364,6,7.9,0.76,1.3,6.8,8.1,5.3,0.8,0.4,3.8,2.8,26.3,18.9,-0.9,Selected
Point-Forward,50,33.42,6.7,11.8,0.569,0,0,0,3.2,5.5,0.582,2.2,7.3,9.5,8.2,1.3,0.8,3.4,2.5,16.7,17,2.2,Selected
Point-Forward,33,21.07,3,7.2,0.418,0.9,2.7,0.344,0.8,1.1,0.743,0.5,2.7,3.2,2.3,0.6,0.4,1.2,2.1,7.7,5.4,-1.7,Not selected
Point-Forward,46,25.82,3.8,9,0.418,1.2,3.7,0.314,2,2.3,0.841,0.8,3.8,4.6,3.4,1,0.3,1.5,1.4,10.7,8.9,2.3,Not selected
Point-Forward,35,31.25,2.7,6.6,0.417,0.6,2.4,0.262,1,1.3,0.723,1,6.9,7.9,7.3,1.6,0.9,2.6,3.2,7.1,9.7,8.7,Not selected
Point-Forward,43,36.88,10.4,18.7,0.557,1.8,4.9,0.376,4.6,6,0.77,1.2,6.8,8,8.8,1.7,1.1,4.3,1.7,27.3,24.3,0.4,Selected
Point-Forward,42,37.42,10.3,18.8,0.546,0.5,1.6,0.279,7.2,9.4,0.766,2.3,7.8,10.1,4.6,1.5,1.3,2.7,3.1,28.2,23.8,2.2,Selected
Point-Forward,40,32.38,4,8.7,0.463,1.2,3.8,0.312,2.1,2.7,0.776,1.1,6.8,7.9,7.6,1.3,1.3,2.8,2.6,11.3,13.1,6.8,Selected
Point-Forward,39,26.7,4.1,8.4,0.482,0.8,2.7,0.317,1.6,2.3,0.678,0.8,4.2,5,4.1,0.9,0.6,2.1,2.8,10.5,8.7,0.6,Not selected
Point-Forward,30,34.35,7.7,17.4,0.444,1.9,5.6,0.331,5.4,6.9,0.783,1.5,6.4,7.9,5.5,0.8,0.3,3.2,2.5,22.7,16.7,0.3,Not selected
Point-Forward,37,37.03,9.4,18.4,0.512,1.8,4.8,0.375,5,7.1,0.703,1.4,6.3,7.7,8.1,1.5,0.5,4.1,1.6,25.6,21.3,7.6,Selected
Point-Forward,40,34.73,8.6,16.1,0.537,0.7,2.4,0.284,5.7,7.2,0.783,1.9,6.8,8.7,5.6,1.8,2.1,3,3.4,23.6,21.4,2.4,Selected
Point-Forward,40,34.85,7,15.2,0.457,2,5,0.399,5.9,6.8,0.874,0.6,5.2,5.8,3.4,1,0.3,2,1.7,21.8,16.4,3.6,Selected
